제목	가수	링크	앨범아트	장르	
Write in go	ScaleAbility	https://www.youtube.com/watch?v=V4p8He3vP40	https://cdnimg.melon.co.kr/cm2/album/images/104/56/879/10456879_20200707152126_500.jpg?faf334c3a87b39a2898e4f75285b4c76/melon/resize/282/quality/80/optimize	1:2:3	
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"	악동뮤지션	https://www.youtube.com/watch?v=XHosLhPEN3k	https://i.ytimg.com/an_webp/XHosLhPEN3k/mqdefault_6s.webp?du=3000&sqp=CKqwy4MG&rs=AOn4CLDJAAzyGreJmrr0f2E-bk1OVhSm-Q	1:2:3	
아이처럼	김동률	https://www.youtube.com/watch?v=LJvEIjRBSDA	https://i.ytimg.com/an_webp/LJvEIjRBSDA/mqdefault_6s.webp?du=3000&sqp=CICAy4MG&rs=AOn4CLBQxMwPC7pR0y7m8vTHeLSHbzkeig	1:2:3	
기적	김동률	https://www.youtube.com/watch?v=mZz9uYdj_v4	https://cdnimg.melon.co.kr/cm2/album/images/103/31/947/10331947_500.jpg?c6e307f67cf7124ec13127cd60ab569f/melon/resize/282/quality/80/optimize	1:2:3	
아빠가 딸에게	변진섭	https://www.youtube.com/watch?v=a8OH2vN0O1A	https://cdnimg.melon.co.kr/cm/album/images/003/66/933/366933_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
Show Your Love	비투비 포유	https://www.youtube.com/watch?v=unM1FdBgBvU	https://cdnimg.melon.co.kr/cm/album/images/000/03/167/3167_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
Hoch	Tim Bendzko	https://www.youtube.com/watch?v=XGaoSbp_MUE	https://cdnimg.melon.co.kr/cm/album/images/102/25/817/10225817_500.jpg?afa557712692b46b1f1c013855980391/melon/resize/282/quality/80/optimize	1:2:3	
답장	김동률	https://www.youtube.com/watch?v=1eiL9uZ97FA	https://cdnimg.melon.co.kr/cm2/album/images/105/18/744/10518744_20201116152324_500.jpg?f422ef0125cff9d46b4d50aa446599c4/melon/resize/282/quality/80/optimize	1:2:3	
출발	김동률	https://www.youtube.com/watch?v=Fj7fi9HEU7g	http://cfs5.tistory.com/upload_control/download.blog?fhandle=YmxvZzEwODE3M0BmczUudGlzdG9yeS5jb206L2F0dGFjaC8wLzA3MDAwMDAwMDAwOC5qcGc%3D	1:2:3	
염라	달의하루	https://www.youtube.com/watch?v=kMRLzSQorK0	https://cdnimg.melon.co.kr/cm/album/images/101/28/163/10128163_500.jpg?7c9f60f61f64d1090366ca26ebc17135/melon/resize/282/quality/80/optimize	1:2:3	
너로피어오라	달의하루	https://www.youtube.com/watch?v=wTeiabRmcsQ	https://cdnimg.melon.co.kr/cm/album/images/003/66/933/366933_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
대머리가 되어가네	중식이	https://www.youtube.com/watch?v=jv543Nk5s18	https://cdnimg.melon.co.kr/cm2/album/images/104/05/661/10405661_20200319185158_500.jpg?c309344626c18c976a2f20eebadd1952/melon/resize/282/quality/80/optimize	1:2:3	
귀엽다네요	중식이	https://www.youtube.com/watch?v=3vhA8njtoQg	https://cdnimg.melon.co.kr/cm2/album/images/104/35/205/10435205_20200526103531_500.jpg?46bf77a4027653aad155701f22d9a539/melon/resize/282/quality/80/optimize	1:2:3	
다들 이런 경험 있지 않나	중식이	https://www.youtube.com/watch?v=E4EVzYLGHVc	https://cdnimg.melon.co.kr/cm2/album/images/103/77/305/10377305_20200117144337_500.jpg?89307d72cc292953b43a8de69283a640/melon/resize/282/quality/80/optimize	1:2:3	
Celebrity	아이유	https://www.youtube.com/watch?v=NZ98Q63P1AI	https://cdnimg.melon.co.kr/cm2/album/images/104/66/880/10466880_20200724150549_500.jpg?851f9eeecc29b550797f77a87a10a910/melon/resize/282/quality/80/optimize	1:2:3	
범 내려 온다	이날치	https://www.youtube.com/watch?v=-ggCSR_hxGM	https://cdnimg.melon.co.kr/cm2/album/images/104/96/510/10496510_20200925152130_500.jpg?7b8c2135ade5db51d686863262f139be/melon/resize/282/quality/80/optimize	1:2:3	
밤편지	아이유	https://www.youtube.com/watch?v=ZThVobEtp_o	https://cdnimg.melon.co.kr/cm2/album/images/105/54/246/10554246_20210325161233_500.jpg?304eb9ed9c07a16ec6d6e000dc0e7d91/melon/resize/282/quality/80/optimize	1:2:3	
에잇	아이유	https://www.youtube.com/watch?v=SmTRaSg2fTQ	https://cdnimg.melon.co.kr/cm2/album/images/103/91/873/10391873_20200220183531_500.jpg?55a915fbb0fa2ae612bd7e1ca5e3e650/melon/resize/282/quality/80/optimize	1:2:3	
너랑 나	아이유	https://www.youtube.com/watch?v=M9CS63PDyJ0	https://cdnimg.melon.co.kr/cm/album/images/100/47/890/10047890_500.jpg?fe3170fcb1ac397fc072be5877d5f1b9/melon/resize/282/quality/80/optimize	1:2:3	
푸르던	아이유	https://www.youtube.com/watch?v=yFkvinwYbes	https://cdnimg.melon.co.kr/cm2/album/images/104/26/648/10426648_20200506153340_500.jpg?0ed92b652a9149e26387233529a32781/melon/resize/282/quality/80/optimize	1:2:3	
홍연	안예은	https://www.youtube.com/watch?v=S8KkJrOOmoQ	https://cdnimg.melon.co.kr/cm/album/images/020/40/666/2040666_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
상사화	안예은	https://www.youtube.com/watch?v=m-V6Ec73dVA	https://cdnimg.melon.co.kr/cm/album/images/026/46/282/2646282_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
당신과는 천천히	장범준	https://www.youtube.com/watch?v=bQtI4rTUsMY	https://cdnimg.melon.co.kr/cm/album/images/100/18/412/10018412_500.jpg?e9cf41823c864ad17f43d0066b21f05a/melon/resize/282/quality/80/optimize	1:2:3	
손 닿으면	장범준	https://www.youtube.com/watch?v=f1okXgx7NvU	https://cdnimg.melon.co.kr/cm/album/images/100/45/344/10045344_500.jpg?6c370ea6a37c9a9e2c96b2c93ebd36e8/melon/resize/282/quality/80/optimize	1:2:3	
내 마음이 움찔했던 순간	규현	https://www.youtube.com/watch?v=-wwuoWFmgq4	https://cdnimg.melon.co.kr/cm/album/images/102/64/375/10264375_500.jpg?f520343cf02d96609a9aa412a3a1cf6b/melon/resize/282/quality/80/optimize	1:2:3	
다시 만나는 날	규현	https://www.youtube.com/watch?v=X16hJHj1ifE	https://cdnimg.melon.co.kr/cm/album/images/102/98/271/10298271_500.jpg?10e3c4cb743f86e186311605a8960494/melon/resize/282/quality/80/optimize	1:2:3	
고백	김동률	https://www.youtube.com/watch?v=vIPug7A8Fds	https://cdnimg.melon.co.kr/cm2/album/images/104/78/925/10478925_20200820171048_500.jpg?f0bc97f6807f4bc62be45ce082bad03b/melon/resize/282/quality/80/optimize	1:2:3	
내가 해줄 수 있는 일	나윤권	https://www.youtube.com/watch?v=TDyWL2R45CA	https://cdnimg.melon.co.kr/cm/album/images/100/65/291/10065291_500.jpg?9e6053313770909ddf0a63d306af22c1/melon/resize/282/quality/80/optimize	1:2:3	
너에게 못했던 내 마지막 말은	다비치	https://www.youtube.com/watch?v=6n75iSjISVY	https://cdnimg.melon.co.kr/cm/album/images/022/84/244/2284244_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
마음이 말하는 행복	마크툽	https://www.youtube.com/watch?v=V5PM7sigjoQ	https://cdnimg.melon.co.kr/cm2/album/images/103/67/710/10367710_20191220173133_500.jpg?b49920e7ccad165aada808e94dda2fa9/melon/resize/282/quality/80/optimize	1:2:3	
오늘도 빛나는 너에게	마크툽	https://www.youtube.com/watch?v=i-SBnhaZSSU	https://cdnimg.melon.co.kr/cm/album/images/102/86/309/10286309_500.jpg?62b48e909b01e81fe270498ab66e7ca8/melon/resize/282/quality/80/optimize	1:2:3	
Marry Me	마크툽	https://www.youtube.com/watch?v=3i6bgBU1zTQ	https://cdnimg.melon.co.kr/cm2/album/images/103/69/830/10369830_20191230105943_500.jpg?656d03fa120d8be02ede53691a937767/melon/resize/282/quality/80/optimize	1:2:3	
FAKE LOVE	방탄소년단	https://www.youtube.com/watch?v=dmSUBdk4SY4	https://cdnimg.melon.co.kr/cm/album/images/102/94/603/10294603_500.jpg?0c56b81bdfc97f7c568a95aad6a7614a/melon/resize/282/quality/80/optimize	1:2:3	
봄날	방탄소년단	https://www.youtube.com/watch?v=--knPjoSlNE	https://cdnimg.melon.co.kr/cm/album/images/022/71/467/2271467_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
나들이 갈까	볼빨간사춘기	https://www.youtube.com/watch?v=i4JGSpVBEJU	https://cdnimg.melon.co.kr/cm/album/images/101/68/559/10168559_500.jpg?25d441cc621ba5a207c3be7cf568a283/melon/resize/282/quality/80/optimize	1:2:3	
우주를 줄게	볼빨간사춘기	https://www.youtube.com/watch?v=H2HQWHKDREI	https://cdnimg.melon.co.kr/cm/album/images/100/37/969/10037969_500.jpg?df3750c6152ad5e19ea6773a5faf71ba/melon/resize/282/quality/80/optimize	1:2:3	
워커홀릭	볼빨간사춘기	https://www.youtube.com/watch?v=yXmKYHBeLYI	https://cdnimg.melon.co.kr/cm/album/images/102/68/898/10268898_500.jpg?7c9e3cfcf193fc9ec4b6bd6a2b3ec24c/melon/resize/282/quality/80/optimize	1:2:3	
여행	볼빨간사춘기	https://www.youtube.com/watch?v=9U8uA702xrE	https://cdnimg.melon.co.kr/cm/album/images/027/07/131/2707131_500.jpg?d12844bf96d3e276ece24c1a2a50fd68/melon/resize/282/quality/80/optimize	1:2:3	
나만 안되는 연애	볼빨간사춘기	https://www.youtube.com/watch?v=5EOIPQx4NPg	https://cdnimg.melon.co.kr/cm2/album/images/103/27/581/10327581_500.jpg?b81f25944d57699dc88d347943c9fd83/melon/resize/282/quality/80/optimize	1:2:3	
나의 사춘기에게	볼빨간사춘기	https://www.youtube.com/watch?v=IRn-lhFmTVc	https://cdnimg.melon.co.kr/cm/album/images/101/70/069/10170069_500.jpg?107db514a95bc76cca29db1d2678921b/melon/resize/282/quality/80/optimize	1:2:3	
두 번째 고백	비투비	https://www.youtube.com/watch?v=QdI5Sy5epJc	https://cdnimg.melon.co.kr/cm/album/images/101/70/069/10170069_500.jpg?107db514a95bc76cca29db1d2678921b/melon/resize/282/quality/80/optimizee	1:2:3	
Call me	비투비	https://www.youtube.com/watch?v=RaMAoj1UfyE	https://cdnimg.melon.co.kr/cm/album/images/101/00/191/10100191_500.jpg?0e733ba07eeb0fd8a39f04a8eb6291fd/melon/resize/282/quality/80/optimize	1:2:3	
Friend	비투비	https://www.youtube.com/watch?v=rxl9cIbBHrc	https://cdnimg.melon.co.kr/cm/album/images/021/80/892/2180892_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
괜찮아요	비투비	https://www.youtube.com/watch?v=0unJHBOOx1Y	https://cdnimg.melon.co.kr/cm/album/images/101/75/106/10175106_500.jpg?982248187a3b8b5a4e901d3f6e42265b/melon/resize/282/quality/80/optimize	1:2:3	
그리워하다	비투비	https://www.youtube.com/watch?v=0_gRF8iiWB0	https://cdnimg.melon.co.kr/cm/album/images/102/15/293/10215293_500.jpg?4bb564594c48f12ffed0a146c63b8315/melon/resize/282/quality/80/optimize	1:2:3	
너 없인 안 된다	비투비	https://www.youtube.com/watch?v=4nSOi9AXqXU	https://cdnimg.melon.co.kr/cm/album/images/023/26/467/2326467_500.jpg?4309b9be9f71f699fe677bb0bb70fa07/melon/resize/282/quality/80/optimize	1:2:3	
집으로 가는 길	비투비	https://www.youtube.com/watch?v=8eGwmkQOUjg	https://cdnimg.melon.co.kr/cm/album/images/101/02/658/10102658_500.jpg?6cec8d222561d42eb5d87c6d77cefd68/melon/resize/282/quality/80/optimize	1:2:3	
나비	비투비	https://www.youtube.com/watch?v=7W7RQqH4r2w	https://cdnimg.melon.co.kr/cm/album/images/101/75/106/10175106_500.jpg?982248187a3b8b5a4e901d3f6e42265b/melon/resize/282/quality/80/optimizee	1:2:3	
제발	비투비	https://www.youtube.com/watch?v=g71_WdcXoRk	https://cdnimg.melon.co.kr/cm/album/images/026/44/202/2644202_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
너 같아서	비투비	https://www.youtube.com/watch?v=iorJ7cbOhHk	https://cdnimg.melon.co.kr/cm/album/images/102/15/293/10215293_500.jpg?4bb564594c48f12ffed0a146c63b8315/melon/resize/282/quality/80/optimizee	1:2:3	
